month,delivered_orders,avg_delivery_days,avg_delivery_delay_days,late_order_rate
2016-09-01,1,54.81319444444444,36.32474537037037,1.0
2016-10-01,265,19.600558787561145,-36.07607320055905,0.011320754716981131
2016-12-01,1,4.693020833333334,-21.33699074074074,0.0
2017-01-01,750,12.647043518518519,-26.8617875,0.030666666666666665
2017-02-01,1653,13.168825248986131,-18.680104229683405,0.03206291591046582
2017-03-01,2546,12.951184487831311,-11.781201989867911,0.05577376276512176
2017-04-01,2303,14.917912500402052,-12.431897700865216,0.07859313938341293
2017-05-01,3545,11.322362975369586,-12.962420578018074,0.03609701071630006
2017-06-01,3135,12.011572704383012,-12.010291703585564,0.03859649122807018
2017-07-01,3872,11.592732387200604,-11.724583674098945,0.034349173553719005
2017-08-01,4193,11.147124655510506,-12.333478087928734,0.03315048891008824
2017-09-01,4150,11.85100652889335,-10.586359805890227,0.052048192771084335
2017-10-01,4478,11.856699698526128,-11.16283611855491,0.05292541313086199
2017-11-01,7288,15.161131699241777,-7.399620315422104,0.14309233090958978
2017-12-01,5513,15.394918530107288,-12.28642143401791,0.08380192272809722
2018-01-01,7069,14.080562613956083,-12.221992807013407,0.06563870420144292
2018-02-01,6555,16.945137568155495,-7.583858482004125,0.15987795575896263
2018-03-01,7003,16.30141017440938,-5.731656632937736,0.21362273311437954
2018-04-01,6798,11.499241053673193,-12.180305361122008,0.05310385407472786
2018-05-01,6749,11.419028935356678,-11.472459330394626,0.08238257519632539
2018-06-01,6096,9.239216293167347,-18.533523800518857,0.013608788325955074
2018-07-01,6156,8.958636237154959,-10.731490293646067,0.044812469556746226
2018-08-01,6351,7.732779720458137,-7.45355048344676,0.10392064241851677
2018-09-01,0,,,
2018-10-01,0,,,
