delivery_bucket,orders,avg_review_score
Early,86713,4.296572217160826
On Time,1450,4.1579310344827585
1-3 Days Late,2636,3.7668816388467374
4-7 Days Late,1773,2.317258883248731
>7 Days Late,3252,1.7293972939729396
