category,orders,items,revenue,avg_item_price,avg_review_score
health_beauty,8647,9519,1237439.95,129.99684315579367,4.19077834179357
watches_gifts,5495,5869,1167246.63,198.8833924007497,4.071931330472103
bed_bath_table,9272,11107,1037177.69,93.38054290087332,3.920983158852981
sports_leisure,7530,8489,960189.09,113.10979974084108,4.166429587482219
computers_accessories,6530,7708,896243.28,116.27442656979761,3.9847497393117832
furniture_decor,6307,8239,718344.78,87.18834567301857,3.950116435837725
housewares,5743,6819,617836.73,90.60518111159995,4.1084070796460175
cool_stuff,3559,3727,612071.86,164.2264180305876,4.194699837750135
auto,3810,4158,580263.44,139.55349687349687,4.116346854505708
toys,3804,4038,472109.78,116.91673600792471,4.207886199151485
garden_tools,3448,4282,471671.27,110.15209481550677,4.081335213916314
baby,2809,2990,400774.42,134.03826755852842,4.079204583754635
perfumery,3086,3355,391175.73,116.5948524590164,4.21561004784689
telephony,4093,4434,310004.11,69.9152255299955,3.9950090744101634
office_furniture,1254,1678,269418.1,160.55905840286056,3.5174278846153846
stationery,2264,2474,224145.67,90.60051333872272,4.244001626677512
computers,177,199,218684.14,1098.9152763819095,4.219387755102041
pet_shop,1688,1926,211971.64,110.05796469366562,4.217527386541471
musical_instruments,611,652,184340.64,282.73104294478526,4.222910216718266
small_appliances,609,662,183677.02,277.4577341389728,4.225266362252664
Unknown,1392,1545,171438.59,110.96348867313915,3.9399869536855836
electronics,2517,2730,155173.83,56.84023076923077,4.067502766506824
fashion_bags_accessories,1820,2004,150162.75,74.9315119760479,4.192577733199599
consoles_games,1018,1090,148538.37,136.27373394495413,4.137962962962963
construction_tools_construction,736,918,142940.29,155.70837690631808,4.090909090909091
luggage_accessories,1019,1077,138701.63,128.78517177344474,4.352283317800559
home_appliances_2,227,233,108221.6,464.4703862660944,4.1594827586206895
home_appliances,747,792,81856.55,103.3542297979798,4.225602027883396
home_construction,483,597,81527.42,136.56184254606364,3.9595278246205736
agro_industry_and_commerce,177,206,70566.1,342.5538834951456,4.087378640776699
furniture_living_room,414,499,67861.4,135.99478957915832,3.937246963562753
home_confort,392,432,58265.15,134.8730324074074,3.8511627906976744
fixed_telephony,212,256,55355.2,216.23125,3.758893280632411
air_conditioning,246,289,53323.56,184.5105882352941,4.052816901408451
audio,348,363,50620.5,139.4504132231405,3.83008356545961
small_appliances_home_oven_and_coffee,72,73,46589.56,638.2131506849315,4.438356164383562
kitchen_dining_laundry_garden_furniture,241,274,45531.98,166.1751094890511,4.033088235294118
books_general_interest,496,537,45302.15,84.36154562383612,4.512195121951219
construction_tools_lights,242,302,40185.0,133.06291390728478,4.085324232081911
construction_tools_safety,159,183,38773.22,211.87551912568307,3.967032967032967
industry_commerce_and_business,232,266,38574.81,145.0180827067669,4.129277566539924
food,441,499,28731.15,57.577454909819636,4.262833675564682
market_place,274,305,27795.77,91.13367213114753,4.072607260726072
costruction_tools_garden,190,234,25150.13,107.47918803418803,4.1239316239316235
art,195,197,23657.3,120.08781725888325,4.082051282051282
fashion_shoes,235,260,23206.16,89.25446153846154,4.28515625
drinks,287,365,21607.04,59.1973698630137,4.1287671232876715
signaling_and_security,138,197,21315.05,108.19822335025381,4.091836734693878
furniture_bedroom,90,103,19051.8,184.96893203883496,4.252427184466019
books_technical,256,265,18755.2,70.7743396226415,4.393939393939394
costruction_tools_tools,97,103,15903.95,154.40728155339806,4.444444444444445
food_drink,221,271,15033.87,55.475535055350555,4.369003690036901
fashion_male_clothing,106,125,10452.33,83.61864,3.7580645161290325
fashion_underwear_beach,117,127,9305.95,73.2751968503937,4.0476190476190474
christmas_supplies,125,150,8737.84,58.252266666666664,4.06993006993007
tablets_printing_image,79,83,7528.41,90.70373493975903,4.1234567901234565
cine_photo,63,71,6690.37,94.2305633802817,4.295774647887324
music,38,38,6034.35,158.79868421052632,4.2105263157894735
dvds_blu_ray,56,61,4542.59,74.46868852459016,4.180327868852459
party_supplies,38,42,4465.19,106.31404761904761,3.8333333333333335
books_imported,50,57,4418.86,77.52385964912281,4.508771929824562
furniture_mattress_and_upholstery,37,37,4323.38,116.84810810810811,3.891891891891892
portateis_cozinha_e_preparadores_de_alimentos,13,14,3933.63,280.9735714285714,3.4285714285714284
fashio_female_clothing,36,46,2700.84,58.713913043478264,3.9565217391304346
fashion_sport,26,30,2119.51,70.65033333333334,4.366666666666667
la_cuisine,13,14,2054.99,146.785,4.0
arts_and_craftmanship,23,24,1814.01,75.58375,4.125
diapers_and_hygiene,25,37,1500.79,40.56189189189189,3.3783783783783785
pc_gamer,7,8,1306.95,163.36875,3.625
flowers,29,33,1110.04,33.63757575757576,4.419354838709677
home_comfort_2,24,30,760.27,25.342333333333332,3.6296296296296298
cds_dvds_musicals,12,14,730.0,52.142857142857146,4.642857142857143
fashion_childrens_clothes,7,7,519.95,74.27857142857142,5.0
security_and_services,2,2,283.29,141.645,2.5
